icon_file,description,short_description
ENV.png,"Policies addressing climate change, conservation, clean air and water, and environmental protection.",Climate and environmental protection
HLTH.png,"Access to affordable healthcare, public health systems, mental health services, and medical workforce issues.",Healthcare and public health
LAB.png,"Worker protections, unions, wages, workplace safety, and collective bargaining rights.",Labor and worker protections
EDU.png,"Public education funding, schools, teachers, higher education, and student support systems.",Education and schools
WR.png,"Access to abortion, contraception, maternal healthcare, and bodily autonomy.",Reproductive rights
CIV.png,"Equal rights protections across race, gender, sexual orientation, and identity, including anti-discrimination policies.",Civil rights and equality
DEM.png,"Election integrity, voting access, campaign finance reform, and democratic participation.",Voting rights and democracy
GUN.png,"Policies aimed at reducing gun violence, including background checks, safe storage, and firearm regulations.",Gun safety and violence prevention
IMM.png,"Protections and pathways for immigrants, refugees, and inclusive community policies.",Immigrant rights
HOU.png,"Affordable housing, tenant protections, zoning, and homelessness solutions.",Housing and homelessness
CJ.png,"Policing, incarceration, sentencing reform, and fair and equitable justice systems.",Criminal justice reform
ECON.png,"Income inequality, taxation, jobs, consumer protection, and economic opportunity.",Economic justice
SEN.png,"Programs and protections for older adults, including Social Security, Medicare, and elder care.",Seniors and social security
DIS.png,"Accessibility, inclusion, and rights for people with disabilities across all areas of life.",Disability rights
VET.png,"Support, benefits, and services for veterans and active-duty military families.",Veterans and military families
ANIM.png,"Humane treatment of animals, wildlife protection, and animal rights policies.",Animal welfare
YTH.png,"Policies affecting children, youth development, and long-term societal outcomes.",Youth and future generations
GOV.png,"Transparency, accountability, anti-corruption, and effective governance.",Good government and ethics
IND.png,"Tribal sovereignty, land rights, cultural preservation, and policies affecting Indigenous communities.",Indigenous rights and sovereignty
